Correction,GroundTruth,ORC
asbestos,asbestos,asbestos
dlsease,disease,dlsease
lltlgatlon,litigation,lltlgatlon
crisis,crisis,crisis
which,which,whlch
has,has,has
materlallzed,materialized,materlallzed
has,has,has
genarated,genarated,genarated
conslderable,considerable,conslderable
actlvlty,activity,actlvlty
n,in,n
the,the,the
past,past,past
year,year,year
the,the,the
most,most,most
promlnent,prominent,promlnent
of,of,of
these,these,these
efforts,efforts,efforts
are,are,are
as,as,as
follows,follows,follows
in,in,in
and,and,and
agaln,again,agaln
n,in,n
congressman,congressman,congressman
george,george,george
mlller,miller,mlller
m,d,m
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
compensatlon,compensation,compensatlon
program,program,program
funded,funded,funded
by,by,by
employers,employers,employers
and,and,and
to,to,to
some,some,some
extent,extent,extent
by,by,by
product,product,product
manufacturers,manufacturers,manufacturers
this,this,th
leglslatlon,legislation,leglslatlon
which,which,whlch
focused,focused,focused
on,on,on
asbestos,asbestos,asbestos
and,and,and
radon,radon,radon
daughters,daughters,daughters
but,but,but
could,could,could
easlly,easily,easlly
be,be,be
o,o,o
set,set,set
of,of,of
comprehensive,comprehensive,comprehenslve
proposals,proposals,proposals
to,to,to
reform,reform,recom
state,state,state
workers,workers,workers
compensatlon,compensation,compensatlon
programs,programs,programs
cma,cma,cm
the,the,the
insurant,insurant,insurant
industry,industry,industry
trade,trade,trade
assoclatlons,associations,assoclatlons
together,together,together
cma,with,mm
state,state,state
workers,workers,workers
compensatlon,compensation,compensatlon
program,program,program
administrators,administrators,admlnlstrators
are,are,are
now,now,now
involved,involved,nvolved
in,in,in
an,an,an
effort,effort,effort
to,to,to
propose,propose,propose
comprehensive,comprehensive,comprehenslve
system,system,system
reform,reform,refom
o,o,o
the,the,the
aflctd,aflcto,aflctd
industrlal,industrial,industrlal
unlon,union,unlon
department,department,department
has,has,has
assumed,assumed,assumed
an,an,an
active,active,actlve
role,role,role
n,in,n
pursulng,pursuing,pursulng
broadbased,broadbased,broadibased
refoms,reforms,refoms
and,and,and
favors,favors,favors
a,a,a
federallzed,federalized,federallzed
beneflt,benefit,beneflt
system,system,system
and,and,and
contlnued,continued,contlnued
access,access,access
to,to,to
the,the,the
tort,tort,tort
system,system,system
reform,reform,reform
of,of,of
state,state,state
workers,workers,workers
compensatlon,compensation,compensatlon
systems,systems,systems
the,the,the
buslness,business,buslness
round,round,round
table,table,table
is,is,is
commlsslonlng,commissioning,commlsslonlng
studles,studies,studles
of,of,of
workplace,workplace,workplace
dlsease,disease,dlsease
reform,reform,reform
fundlng,funding,fundlng
and,and,and
mechanisms,mechanisms,mechanlsms
for,for,for
determlnlng,determining,determlnlng
occupatlonal,occupational,occupatlonal
causatlon,causation,causatlon
of,of,of
dlsease,disease,dlsease
o,o,o
a,a,a
number,number,number
of,of,of
asbestos,asbestos,asbestos
manufacturers,manufacturers,manufacturers
have,have,have
drafted,drafted,drafted
leglslatlon,legislation,leglslatlon
to,to,to
create,create,create
a,a,a
supplemental,supplemental,supplemental
federally,federally,federally
admlnlstered,administered,admlnlstered
compensatlon,compensation,compensatlon
program,program,program
for,for,for
asbestos,asbestos,asbestos
dlsease,disease,dlsease
victims,victims,victims
the,the,the
proposal,proposal,proposal
has,has,has
no,no,no
congresslonal,congressional,congresslonal
sponsorship,sponsorship,sponsorshlp
at,at,at
this,this,thls
june,time,tune
o,o,o
standards,standards,standards
for,for,for
product,product,product
llablllty,liability,llablllty
sults,suits,sults
proposes,proposes,proposes
to,to,to
ntegrate,integrate,ntegrate
workers,workers,workers
compensatlon,compensation,compensatlon
and,and,and
tort,tort,tort
remedles,remedies,remedles
cmas,cmas,cmas
publlc,public,publlc
compensatlon,compensation,compensatlon
task,task,task
group,group,group
has,has,has
monltored,monitored,monltored
all,all,all
of,of,of
these,these,these
activities,activities,actlvltles
and,and,and
had,had,had
undertaken,undertaken,undertaken
an,an,an
ndependent,independent,ndependent
nvestgatlon,investigation,nvestgatlon
of,of,of
the,the,the
matters,matters,matters
at,at,at
issue,issue,lssue
from,from,from
the,the,the
prospectlve,prospective,prospectlve
of,of,of
the,the,the
chemlcal,chemical,chemlcal
manufacturers,manufacturing,manufacturlng
stake,stake,stake
and,and,and
that,that,that
those,those,those
nterests,interests,nterests
are,are,are
focused,focused,focused
prlmarlly,primarily,prlmarlly
on,on,on
tha,tha,tha
ncreaslng,increasing,ncreaslng
splllover,spillover,splllover
of,of,of
workplace,workplace,workplace
dlsease,disease,dlsease
clalms,claims,clalms
nto,into,nto
the,the,the
tort,tort,tort
system,system,system
a,a,a
better,better,better
ntegratlon,integration,ntegratlon
of,of,of
tha,tha,tha
two,two,two
systems,systems,systems
and,and,and
more,more,more
ratlonal,rational,ratlonal
mathods,mathods,mathods
for,for,for
distributing,distributing,dlstrlbutlng
workplace,workplace,workplace
dlsease,disease,dlsease
liabilities,liabilities,liabilities
are,are,are
objectives,objectives,objectlves
which,which,whlch
merlt,merit,merlt
the,the,the
careful,careful,careful
attentlon,attention,attentlon
of,of,of
the,the,the
industry,industry,ndustry
the,the,the
obllgatlon,obligation,obllgatlon
to,to,to
promote,promote,promote
the,the,the
equltable,equitable,equltable
compensatlon,compensation,compensatlon
of,of,of
chemlcal,chemical,chemlcal
industry,industry,industry
workers,workers,workers
affllcted,afflicted,affllcted
by,by,by
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
and,and,and
the,the,the
preventlon,prevention,preventlon
of,of,of
dlsease,disease,dlsease
are,are,are
also,also,also
dented,identified,dented
as,as,as
areas,areas,areas
of,of,of
substantlal,substantial,substantlal
nterest,interest,nterest
however,however,however
these,these,these
aspects,aspects,aspects
of,of,of
the,the,the
unlverse,universe,unlverse
of,of,of
workplace,workpiece,workplace
dlsease,disease,dlsease
concerns,concerns,concerns
cannot,cannot,cannot
be,be,be
addressed,addressed,addressed
apart,apart,apart
from,from,from
the,the,the
interests,interests,interests
of,of,of
other,other,other
involved,involved,nvolved
groups,groups,groups
in,in,in
addresslng,addressing,addresslng
the,the,the
larger,larger,larger
context,context,context
the,the,the
commlttee,committee,commlttee
has,has,has
dented,identified,dented
general,general,general
target,target,target
prlnclples,principles,prlnclples
to,to,to
aim,aid,am
n,in,n
the,the,the
evaluatlon,evaluation,evaluatlon
of,of,of
tvolvlng,tvolving,tvolvlng
workers,workers,workers
compensatlon,compensation,compensatlon
reform,reform,recom
proposals,proposals,proposals
target,target,target
prlnclples,principles,prlnclples
and,and,and
objectives,objectives,dbjectlves
for,for,for
workers,workers,workers
compensatlon,compensation,compensatlon
reform,reform,refom
v,v,v
preventlon,prevention,preventlon
if,if,if
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
compensatlon,compensation,compensatlon
reform,reform,reform
proceeds,proceeds,proceeds
the,the,the
reforms,reforms,reforms
agreed,agreed,agreed
upon,upon,upon
should,should,should
actlvely,actively,actlvely
promote,promote,promote
dlsease,disease,dlsease
preventlon,prevention,preventlon
and,and,and
involve,involve,nvolve
employers,employers,employers
and,and,and
employees,employees,employees
n,in,n
preventlon,prevention,preventlon
initiatives,initiatives,initiatives
defederalization,federalization,federallzatlon
the,the,the
creatlon,creation,creatlon
of,of,of
a,a,a
new,new,new
federal,federal,federal
occupatlonal,occupational,occupatlonal
dellvery,delivery,dellvery
system,system,system
dccupatlonal,occupational,dccupatlonal
dlsease,disease,dlsease
vlctlms,victims,vlctlms
should,should,should
be,be,be
equltably,equitably,equltably
compensated,compensated,compensated
hlthln,within,hlthln
existing,existing,exlstlng
state,state,state
workers,workers,workers
compensatlon,compensation,compensatlon
systems,systems,systems
excluslve,exclusive,excluslve
remedy,remedy,remedy
workers,workers,workers
compensatlon,compensation,compensatlon
must,must,must
be,be,be
the,the,the
excluslve,exclusive,excluslve
remedy,remedy,remedy
for,for,for
disability,disability,dlsablllty
or,or,or
death,death,death
caused,caused,caused
by,by,by
workplace,workplace,workplace
dlsease,disease,dlsease
a,a,a
workers,workers,workers
compensatlon,compensation,compensatlon
clalm,claim,clalm
must,must,must
be,be,be
pursued,pursued,pursued
prior,prior,prior
to,to,to
any,any,any
effort,effort,effort
to,to,to
seek,seek,seek
tort,tort,tort
recovery,recovery,recovery
agalnst,against,agalnst
a,a,a
our,third,mum
party,party,party
and,and,and
that,that,that
recovery,recovery,recovery
should,should,should
be,be,be
reduced,reduced,reduced
by,by,by
the,the,the
current,current,current
value,value,value
of,of,of
workers,workers,workers
compensatlon,compensation,compensatlon
beneflts,benefits,beneflts
ncludng,including,ncludng
medlcal,medical,medlcal
care,care,care
beneflts,benefits,beneflts
employers,employers,employers
subrogatlon,subrogation,subrogatlon
rlghts,rights,rlghts
and,and,and
thirdparty,thirdparty,thlrdiparty
rlghts,rights,rlghts
m,to,m
contribution,contribution,contrlbutlon
or,or,or
indemnity,indemnity,ndemnty
should,should,should
be,be,be
abollshed,abolished,abollshed
workers,workers,workers
compensatlon,compensation,compensatlon
reform,reform,reform
should,should,should
be,be,be
conslstent,consistent,conslstent
and,and,and
ntegrated,integrated,ntegrated
cma,with,mm
product,product,product
liability,liability,liability
refoms,reforms,refoms
endorsed,endorsed,endorsed
by,by,by
the,the,the
chemlcal,chemical,chemlcal
ellmlnate,eliminate,ellmlnate
tort,tort,tort
sults,suits,sults
altogether,altogether,altogether
n,in,n
workplace,workplace,workplace
dlsease,disease,dlsease
clalms,claims,clalms
through,through,through
manufacturer,manufacturer,manufacturer
participation,participation,partlclpatlon
n,in,n
workers,workers,workers
compensatlon,compensation,compensatlon
beneflt,benefit,beneflt
programs,programs,programs
eligibility,eligibility,eligibility
disability,disability,disability
or,or,or
death,death,death
attributable,attributable,attrlbutable
to,to,to
an,an,an
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
should,should,should
be,be,be
compensated,compensated,compensated
but,but,but
eligibility,eligibility,eligibility
declslons,decisions,declslons
must,must,must
be,be,be
based,based,based
upon,upon,upon
establlshed,established,establlshed
and,and,and
uniform,uniform,unlfom
scientific,scientific,sclentlflc
standards,standards,standards
with,with,hlth
sufflclent,sufficient,sufflclent
flexlblllty,flexibility,flexlblllty
co,co,co
encompass,encompass,encompass
the,the,the
extraordlnary,extraordinary,extraordlnary
case,case,case
causatlon,causation,causatlon
dccupatlonal,occupational,dccupatlonal
causatlon,causation,causatlon
should,should,should
be,be,be
determlned,determined,determlned
by,by,by
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
experts,experts,experts
using,using,usmg
establlshed,established,establlshed
union,uniform,unlfom
scientific,scientific,sclentlflc
crlterla,criteria,crlterla
davalopcd,davalopcd,davalopcd
by,by,by
sclentlsts,scientists,sclentlsts
n,in,n
llght,light,llght
of,of,of
the,the,the
best,best,best
information,information,nformatlon
avaliable,available,avaliable
presumptlons,presumptions,presumptlons
and,and,and
cma,similar,ml
arbltrary,arbitrary,arbltrary
legal,legal,legal
devlces,devices,devlces
are,are,are
compatible,incompatible,ncompatble
cma,with,mm
evolving,evolving,evolvmg
sclenceaased,sciencebased,sclenceaased
standards,standards,standards
and,and,and
are,are,are
napproprlate,inappropriate,napproprlate
significant,significant,significant
statute,statute,statute
of,of,of
limitations,limitations,limitations
a,a,a
clalm,claim,clalm
should,should,should
be,be,be
lled,filed,lled
within,within,within
one,one,one
year,year,year
from,from,from
the,the,the
date,date,date
of,of,of
actual,actual,actual
or,or,or
imputed,imputed,mputed
dlscovery,discovery,dlscovery
that,that,that
an,an,an
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
has,has,has
been,been,been
manifested,manifested,manlfested
or,or,or
hlthln,within,hlthln
one,one,one
year,year,year
from,from,from
death,death,death
due,due,due
to,to,to
an,an,an
occupatlonal,occupational,occupatlonal
dlsease,disease,dlsease
notice,notice,notce
and,and,and
deflnltlonal,definitional,deflnltlonal
limitations,limitations,limitations
